1000 6
0 0
1 0 -1739660870
1 0 -135121499
1 0 -241023058
1 0 624108253
1 0 -1008454444
1 0 -1176492180
1 0 -1294963589
1 0 1824231141
1 0 -100889407
1 0 -954209446
1 0 1854183315
1 0 1946921434
1 0 449315420
1 0 299940483
1 0 -1897502128
1 0 -1230802115
1 0 -1383404599
1 0 1634667813
1 0 1899934238
1 0 -326026488
1 0 959886254
1 0 -833179917
1 0 1836834623
1 0 1403819302
1 0 -786501877
1 0 -1282552929
1 0 -2089775168
1 0 -1474314174
1 0 -399805079
1 0 -1026278233
1 0 -1909547572
1 0 -1860229606
1 0 1536408860
1 0 20091880
1 0 -1656869996
1 0 -617156148
1 0 -1218773453
1 0 -1859466726
1 0 297547126
1 0 1850488331
1 0 1854085678
1 0 327023096
1 0 -1314954014
1 0 116566191
1 0 1561449594
1 0 2052150073
1 0 -266300683
1 0 214087726
1 0 2057039979
1 0 -1281458745
1 0 -764852745
1 0 2017600380
1 0 -664884584
1 0 1101024840
1 0 148094316
1 0 -497842660
1 0 -520855061
1 0 -357311621
1 0 424174521
1 0 -1044184247
1 0 349718001
1 0 2093416581
1 0 369917624
1 0 -1689150440
1 0 -1276157714
1 0 -1862413304
1 0 -1787175314
1 0 426015753
1 0 596352713
1 0 -1632775017
1 0 1313932528
1 0 -1982898988
1 0 2018731809
1 0 881698886
1 0 -1579559598
1 0 2030289892
1 0 914987705
1 0 -1896133865
1 0 -1456544481
1 0 837355736
1 0 1815300242
1 0 -1008107720
1 0 -1598679455
1 0 -2015691525
1 0 -1592685688
1 0 -769593877
1 0 -1756033290
1 0 2017461383
1 0 -80744107
1 0 1306656766
1 0 -1690309559
1 0 -2145784173
1 0 859023413
1 0 -364072007
1 0 -341869645
1 0 910398579
1 0 634644654
1 0 1778984857
1 0 -943518944
1 0 -2040294875
1 0 301350159
1 0 1989249742
1 0 231157606
1 0 370723184
1 0 -990245590
1 0 -1203333477
1 0 381188190
1 0 -553739346
1 0 -1999908053
1 0 1267242907
1 0 1713656542
1 0 1128233146
1 0 -810906341
1 0 -2059987082
1 0 2107722874
1 0 -72736076
1 0 283593212
1 0 1139541332
1 0 1073514514
1 0 -1669997499
1 0 -1772418624
1 0 95060335
1 0 868958793
1 0 1331415306
1 0 1208668407
1 0 -1488260506
1 0 -151588002
1 0 27084547
1 0 -397114155
1 0 -1984241457
1 0 2009704755
1 0 216236185
1 0 1998268606
1 0 1193640596
1 0 1659568926
1 0 -685987982
1 0 1433444377
1 0 438206636
1 0 -121310452
1 0 1746005870
1 0 1372313459
1 0 -1797633548
1 0 -1071319195
1 0 1237899572
1 0 1123170793
1 0 357403176
1 0 -312788278
1 0 1474960434
1 0 579609744
1 0 -571914967
1 0 -1858014085
1 0 -199984337
1 0 -1639719191
1 0 -2026114927
1 0 -1043371153
1 0 269209275
1 0 -439841188
1 0 -656486218
1 0 -1204906410
1 0 -1430674629
1 0 1359894666
1 0 -1767711371
1 0 292217754
1 0 201285420
1 0 -667698773
1 0 1105914729
1 0 1211976585
1 0 -933241696
1 0 501254413
1 0 -1839540921
1 0 481580917
1 0 -51847667
1 0 -1539417092
1 0 -1536585064
1 0 1329477089
1 0 -415756709
1 0 -1520524579
1 0 -2132429353
1 0 783727527
1 0 -1939713310
1 0 1845157960
1 0 2139461451
1 0 1449617297
1 0 2138339459
1 0 -1992381506
1 0 1750737676
1 0 2114603341
1 0 -2146948312
1 0 1792814448
1 0 495013801
1 0 1514072508
1 0 -1886693219
1 0 445676895
1 0 -2074074533
1 0 79091246
1 0 -1997878415
1 0 -2032149085
1 0 583550207
1 0 -87586886
1 0 467593405
1 0 1719209730
1 0 1397847297
1 0 -330359308
1 0 -2072278433
1 0 1910106367
1 0 -1355947911
1 0 1906693571
1 0 -459769415
1 0 -1401414778
1 0 932378591
1 0 -704826210
1 0 -1231986463
1 0 50422526
1 0 -1367036499
1 0 -1391020887
1 0 -422954801
1 0 833213231
1 0 -1479502725
1 0 1480169377
1 0 -904297160
1 0 1599890258
1 0 193415596
1 0 -1101804919
1 0 1859242957
1 0 -1499469989
1 0 263668459
1 0 -913444982
1 0 -4391747
1 0 701100886
1 0 -1203053192
1 0 -1318769991
1 0 1547977595
1 0 1630344796
1 0 -1656673652
1 0 397136748
1 0 1825441085
1 0 -1207446122
1 0 -369807
1 0 1682648893
1 0 1526974129
1 0 832480204
1 0 464502602
1 0 1022188106
1 0 -1280327760
1 0 -2144446560
1 0 766417610
1 0 409305316
1 0 1042913407
1 0 1899163891
1 0 -193313140
1 0 1587147087
1 0 20908709
1 0 -1656792734
1 0 -197744760
1 0 -1024083177
1 0 1380626036
1 0 -318924945
1 0 -1081007610
1 0 -817131397
1 0 -2096836061
1 0 352976366
1 0 1362288406
1 0 -733373758
1 0 372931707
1 0 -460128057
1 0 -878888229
1 0 -1779625940
1 0 1280672179
1 0 726023980
1 0 1858567650
1 0 -1814164862
1 0 -705263089
1 0 1683176323
1 0 1816635038
1 0 -220798603
1 0 862057777
1 0 -435410626
1 0 726877909
1 0 -1367661097
1 0 179366204
1 0 1697767429
1 0 960386286
1 0 1513424999
1 0 -284856102
1 0 761818316
1 0 -1175214671
1 0 1886027890
1 0 -239101054
1 0 -508004700
1 0 2088432556
1 0 -213049381
1 0 1765255050
1 0 83730221
1 0 -547965963
1 0 -1733890559
1 0 1052417640
1 0 -395964743
1 0 1558941435
1 0 -279682981
1 0 25920110
1 0 -900600902
1 0 -1714186750
1 0 1025796180
1 0 425392887
1 0 -735806450
1 0 1533528165
1 0 1834301669
1 0 812663073
1 0 -1714004432
1 0 -1459633506
1 0 1566780504
1 0 -930222527
1 0 759470111
1 0 415607082
1 0 411474250
1 0 1489980961
1 0 1212096
1 0 -459784244
1 0 617042292
1 0 -1694085837
1 0 553996288
1 0 -526817423
