1000 6
0 0
1 0 1014290509
1 0 1391778980
1 0 249266008
1 0 1213403060
1 0 51825022
1 0 345121437
1 0 -497389211
1 0 -1382992386
1 0 1701449407
1 0 1784081081
1 0 -1045905058
1 0 934562900
1 0 1113013288
1 0 -1036132764
1 0 -1173163049
1 0 -2123629487
1 0 -913770124
1 0 1442541461
1 0 -975127253
1 0 -730672569
1 0 -2135618780
1 0 -1437619074
1 0 -5445657
1 0 -67641173
1 0 -1832294376
1 0 1920231120
1 0 1025183214
1 0 5421159
1 0 2066264035
1 0 1493913707
1 0 2012047352
1 0 -2046213554
1 0 -1751805414
1 0 683763324
1 0 235477198
1 0 468350234
1 0 1028804005
1 0 -1729976282
1 0 -834398929
1 0 -965646226
1 0 -1886685455
1 0 243125872
1 0 1813067621
1 0 1382056824
1 0 835474333
1 0 2097693467
1 0 524149330
1 0 -447456991
1 0 1692658655
1 0 -703131263
1 0 1322150325
1 0 -1653308119
1 0 203017920
1 0 -1222433800
1 0 -1879136705
1 0 1366890075
1 0 -393826357
1 0 1966373701
1 0 1563035890
1 0 937846921
1 0 -971456456
1 0 -990538468
1 0 904795608
1 0 604092015
1 0 1027894615
1 0 -1772540358
1 0 1773355070
1 0 -38922919
1 0 1743696765
1 0 -132102830
1 0 -1939847165
1 0 -1641546095
1 0 562725112
1 0 -279222106
1 0 1883576584
1 0 1046932816
1 0 171094535
1 0 -730533150
1 0 -1127290553
1 0 2054038799
1 0 1685494002
1 0 1806742354
1 0 1746546780
1 0 1930537487
1 0 740785941
1 0 -878335162
1 0 650662648
1 0 1955064375
1 0 -496634591
1 0 -867184217
1 0 -1713226892
1 0 930522507
1 0 127063798
1 0 -890292503
1 0 -943829688
1 0 809304341
1 0 -1660194498
1 0 -390037816
1 0 -216481227
1 0 1353466531
1 0 1909509665
1 0 1570916042
1 0 -440505327
1 0 -1215067476
1 0 -198943624
1 0 40634233
1 0 427758798
1 0 1591251515
1 0 1688345520
1 0 1975625509
1 0 548929505
1 0 1135011358
1 0 1764389587
1 0 269266878
1 0 -1667564777
1 0 51030943
1 0 2023549980
1 0 -298519830
1 0 1984209754
1 0 -928032435
1 0 181808022
1 0 -723399763
1 0 2086090543
1 0 -1112599889
1 0 -2119301845
1 0 1130535713
1 0 2027043772
1 0 -238298225
1 0 54234844
1 0 -736443020
1 0 -364576418
1 0 -1881411528
1 0 1005800509
1 0 2135837651
1 0 1600934486
1 0 -1114799761
1 0 154733196
1 0 604045769
1 0 -137745991
1 0 1472534728
1 0 1411977251
1 0 -1894724896
1 0 -1260360112
1 0 -1958868080
1 0 -700350076
1 0 -717185922
1 0 -1105759135
1 0 -1352197572
1 0 -962732372
1 0 -1406441751
1 0 -908968543
1 0 -1702332731
1 0 832176449
1 0 -1323856591
1 0 -990820064
1 0 -639652822
1 0 -35905931
1 0 -40537935
1 0 182292321
1 0 -1117390322
1 0 833061751
1 0 811914384
1 0 580082082
1 0 -919330716
1 0 687768975
1 0 -1278214128
1 0 -498413109
1 0 -51878532
1 0 -671575940
1 0 -1854643177
1 0 888797473
1 0 2097851545
1 0 1956827474
1 0 -388117588
1 0 455902127
1 0 -1599460860
1 0 1710582281
1 0 1357430537
1 0 -629608925
1 0 -1419989838
1 0 -1452824138
1 0 -1042645572
1 0 642416609
1 0 -407040276
1 0 2038772518
1 0 271111915
1 0 -839665790
1 0 538590402
1 0 -1732032956
1 0 71414788
1 0 962745724
1 0 -1347663011
1 0 -807310843
1 0 1277702067
1 0 1055625895
1 0 1010932763
1 0 13302966
1 0 -1800226633
1 0 -1005077280
1 0 -81798514
1 0 298868053
1 0 -1287950218
1 0 -1382820449
1 0 -841143502
1 0 -1880468020
1 0 1891726621
1 0 893104706
1 0 -348161663
1 0 65960981
1 0 -996635996
1 0 935828046
1 0 2012513169
1 0 -1113693347
1 0 2071329591
1 0 -1061669125
1 0 -875043565
1 0 1450370436
1 0 -1718974604
1 0 -1140339645
1 0 -832191761
1 0 338422883
1 0 1619486907
1 0 -341362773
1 0 -1319054450
1 0 -1251487116
1 0 896472434
1 0 -509115519
1 0 1192835559
1 0 341610904
1 0 1285037009
1 0 -230766549
1 0 -286424116
1 0 -1865110300
1 0 -152128180
1 0 361140777
1 0 -1623812045
1 0 -643359066
1 0 846880629
1 0 -2066942997
1 0 -1569960921
1 0 1527436120
1 0 721659015
1 0 -1930098193
1 0 -1239429209
1 0 1238012207
1 0 -968361816
1 0 402413057
1 0 -42819045
1 0 304417607
1 0 2102895953
1 0 -651300171
1 0 233593047
1 0 1293256866
1 0 -1447501266
1 0 60758781
1 0 -379269142
1 0 1791349399
1 0 -1076901555
1 0 969131912
1 0 519297926
1 0 127469766
1 0 405684292
1 0 -2076844522
1 0 -715958836
1 0 -1078402952
1 0 1393746307
1 0 527290812
1 0 -149910375
1 0 -1868602938
1 0 -962569779
1 0 186543883
1 0 1268837587
1 0 -190763891
1 0 -1922581562
1 0 -618131436
1 0 -115564321
1 0 885694130
1 0 1534341850
1 0 -1402215836
1 0 1856663003
1 0 1188529752
1 0 -145490362
1 0 -368899977
1 0 1732317865
1 0 351836024
1 0 1654901003
1 0 -1590428807
1 0 1340601971
1 0 -2034018848
1 0 -1741751733
1 0 1581036386
1 0 1280473308
1 0 552286023
1 0 1074002832
1 0 -636184886
1 0 -326230175
1 0 362767766
1 0 -1636338832
1 0 1071216956
1 0 1489547367
1 0 -1541818962
1 0 294819241
1 0 53502613
1 0 -2017131772
1 0 -253485225
1 0 2028494011
1 0 2023460590
1 0 2070647889
1 0 889754392
1 0 -137900563
1 0 -1480466313
1 0 -1894432678
1 0 547730702
1 0 -337650599
1 0 429234533
1 0 -1686897974
1 0 1173694949
1 0 667453373
1 0 -669044387
1 0 -457883643
1 0 -1509076533
1 0 449613204
1 0 2048990481
1 0 1677255423
1 0 -20462341
1 0 91804820
1 0 -1418787426
1 0 -1689571883
1 0 1983021007
1 0 -1087609454
1 0 -1250883320
1 0 -511211824
1 0 386603783
1 0 1112643698
1 0 -1213667494
1 0 -755561129
1 0 1666047205
1 0 1433703599
1 0 1371027210
1 0 -1398410230
1 0 804097055
1 0 1429702032
1 0 1207163656
1 0 769635777
1 0 -1861924035
1 0 732984446
1 0 -1243570743
1 0 -1612567054
1 0 -862627313
1 0 540565929
1 0 272849157
1 0 618261984
1 0 1142090117
1 0 -1876905058
1 0 -558500301
1 0 1504324017
1 0 -843013194
1 0 -1210326136
1 0 -1588102950
1 0 1380540462
1 0 778741934
1 0 -146179345
1 0 -1094852730
1 0 1093103369
1 0 -402370167
1 0 -727755897
1 0 -1895933025
1 0 395148414
1 0 -738647941
1 0 -568472620
1 0 1012810952
1 0 439470130
1 0 1329141871
1 0 -1648886773
1 0 554332372
1 0 -282323122
1 0 -428237933
1 0 -164625784
1 0 1773848429
1 0 -95820142
1 0 1394507791
1 0 157224422
1 0 -518701577
1 0 -582663399
1 0 -5821796
1 0 -1279754902
1 0 253930923
1 0 1089280723
1 0 1816877088
1 0 -1835696185
1 0 -314038808
1 0 -863207219
1 0 -1910820279
1 0 -237402944
1 0 -1701223459
1 0 878692272
1 0 -2062955777
1 0 -225333516
1 0 770135713
1 0 1747758043
1 0 -1438893749
1 0 2011246809
1 0 1387172723
1 0 -1729192697
1 0 -1523998766
1 0 -537067398
1 0 395858307
1 0 -718510411
1 0 -1011018805
1 0 926899651
1 0 947373105
1 0 -183688104
1 0 2027605428
1 0 500781174
1 0 330065644
1 0 1903820545
1 0 -1577581777
1 0 -1087698979
1 0 -1545864695
1 0 2140251008
1 0 -730166968
1 0 1424981130
1 0 89624087
1 0 740480849
1 0 433054819
1 0 1099671630
1 0 171071194
1 0 -293379399
1 0 -773371791
1 0 -189339321
1 0 -686433813
1 0 -589544908
1 0 -1480570414
1 0 1890203991
1 0 1898187629
1 0 -458685095
1 0 -531948528
1 0 422807199
1 0 -115773499
1 0 -135234096
1 0 636008567
1 0 721815316
1 0 -1769322279
1 0 -557884243
1 0 33099329
1 0 160646341
1 0 937073017
1 0 191249938
1 0 1318081753
1 0 1751567428
1 0 806967194
1 0 -505860930
1 0 1428606988
1 0 1132407523
1 0 -1174227215
1 0 -1791172032
1 0 2084085335
1 0 1064792862
1 0 -307456289
1 0 -251189348
1 0 131852183
1 0 -671068792
1 0 404644425
1 0 709376720
1 0 -743526817
1 0 773660200
1 0 477508765
1 0 947775945
1 0 -760562179
1 0 891741456
1 0 -211895470
1 0 245537107
1 0 370698679
1 0 -1498825996
1 0 507796875
1 0 -1494187991
1 0 -760187674
1 0 -1962155688
1 0 1395962103
1 0 1567676711
1 0 63054799
1 0 251304409
1 0 1924184494
1 0 807030470
1 0 -1873677503
1 0 1226104432
1 0 -405684506
1 0 -198351571
1 0 1736971582
1 0 1061572407
1 0 1989605315
1 0 -1742088683
1 0 -639507957
1 0 -1309465064
1 0 -1986750459
1 0 -59675319
1 0 419725432
1 0 -1811929788
1 0 -649211046
1 0 -2130572269
4 0 222
4 0 212
4 0 269
4 0 121
4 0 32
4 0 489
4 0 434
4 0 33
4 0 311
4 0 196
4 0 325
4 0 297
4 0 60
4 0 13
4 0 223
4 0 360
4 0 193
4 0 203
4 0 14
4 0 465
4 0 184
4 0 395
4 0 406
4 0 116
4 0 238
4 0 45
4 0 484
4 0 458
4 0 385
4 0 417
4 0 114
4 0 102
4 0 113
4 0 172
4 0 209
4 0 185
4 0 412
4 0 490
4 0 98
4 0 298
4 0 91
4 0 345
4 0 216
4 0 380
4 0 78
4 0 253
4 0 288
4 0 486
4 0 4
4 0 164
4 0 157
4 0 1
4 0 131
4 0 40
4 0 169
4 0 251
4 0 314
4 0 305
4 0 173
4 0 134
4 0 213
4 0 247
4 0 419
4 0 372
4 0 92
4 0 270
4 0 279
4 0 110
4 0 260
4 0 427
4 0 271
4 0 245
4 0 373
4 0 457
4 0 347
4 0 371
4 0 192
4 0 36
4 0 228
4 0 474
4 0 391
4 0 234
4 0 338
4 0 353
4 0 161
4 0 382
4 0 51
4 0 435
4 0 241
4 0 2
4 0 100
4 0 254
4 0 127
4 0 397
4 0 135
4 0 19
4 0 167
4 0 355
4 0 429
4 0 446
4 0 319
4 0 186
4 0 81
4 0 242
4 0 20
4 0 240
4 0 126
4 0 226
4 0 55
4 0 289
4 0 148
4 0 276
4 0 299
4 0 103
4 0 180
4 0 118
4 0 481
4 0 348
4 0 312
4 0 466
4 0 179
4 0 6
4 0 443
4 0 158
4 0 5
4 0 339
4 0 275
4 0 475
4 0 459
4 0 290
4 0 493
4 0 190
4 0 99
4 0 460
4 0 424
4 0 117
4 0 65
4 0 393
4 0 10
4 0 170
4 0 56
4 0 447
4 0 200
4 0 277
4 0 283
4 0 22
4 0 337
4 0 436
4 0 229
4 0 399
4 0 274
4 0 361
4 0 255
4 0 31
4 0 144
4 0 455
4 0 409
4 0 358
4 0 487
4 0 215
4 0 94
4 0 448
4 0 272
4 0 300
4 0 84
4 0 329
0 0
5 0 119 822728375
1 0 1796329319
2 0
2 0
2 0
